Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-PA2326	10	6	10	14	4	1	1	2	host	gene-PA2326	0.759202798262025	0	0	0	1
gene-PA5437	155	31	27	46	7	4	4	1	host	gene-PA5437	1.3974191086747227	0	0	0	1
gene-PA0197	3	3	2	3	0	0	0	0	host	tonB2	1.0244934245076949	0	1	0	1
gene-PA5130	105	135	133	209	21	36	16	15	host	gene-PA5130	0.8090102971835317	0	0	0	1
gene-PA3461	61	50	23	32	5	7	4	3	host	gene-PA3461	0.9166745246138173	0	0	0	1
gene-PA2092	7	0	1	3	0	0	1	0	host	gene-PA2092	1.5275252316519465	0	1	0	1
gene-PA2829	12	15	9	16	0	2	1	3	host	gene-PA2829	0.8439474655531322	0	1	0	1
gene-PA0547	278	367	143	342	42	72	28	12	host	gene-PA0547	0.856499552248518	0	0	0	1
gene-PA4389	728	513	212	228	69	46	32	33	host	gene-PA4389_gene_speA	1.0376818041013767	0	0	0	1
gene-PA3702	237	203	168	198	34	31	20	14	host	wspR	0.7976699072381264	0	0	0	1
gene-PA0616	151	151	106	219	48	85	50	31	host	gene-PA0616	0.5764565502329047	0	0	0	1
gene-PA4251	3241	5754	2655	6222	1373	1900	1007	590	host	rplE	0.6989379988183039	0	0	0	1
gene-PA0988	98	136	42	48	12	17	5	4	host	gene-PA0988	0.9963610111256441	0	0	0	1
gene-PA4425	90	89	105	119	33	25	20	8	host	gene-PA4425	0.6719246402212762	0	0	0	1
gene-PA5189	46	38	22	36	12	3	7	1	host	gene-PA5189	0.7929672512306762	0	0	0	1
gene-PA2827	135	183	47	86	20	25	9	7	host	gene-PA2827	0.9521319109142651	0	0	0	1
gene-PA4056	213	160	75	83	15	17	9	7	host	ribD	1.0037722557051505	0	0	0	1
gene-PA2943	19	20	23	25	6	5	0	0	host	gene-PA2943	0.803729333367968	0	1	0	1
gene-PA3035	8	7	1	3	1	1	0	2	host	gene-PA3035	0.9751157170437306	0	1	0	1
gene-PA0522	0	2	1	1	0	1	0	0	host	gene-PA0522	1.1135528725660042	0	1	0	1
gene-PA1869	26	127	10	112	5	47	19	8	host	gene-PA1869	1.0245634591607733	0	0	0	1
gene-PA0362	21	28	16	26	5	13	4	1	host	fdx1	0.6765199819178541	0	0	0	1
gene-PA4435	124	135	58	112	9	16	7	13	host	gene-PA4435	0.8846582993307648	0	0	0	1
gene-PA3399	89	82	27	51	8	10	8	3	host	gene-PA3399	0.9408520761859941	0	0	0	1
gene-PA0319	106	97	55	75	17	14	7	5	host	gene-PA0319	0.830264456333845	0	0	0	1
gene-PA5333	128	106	95	155	30	30	22	16	host	gene-PA5333	0.702066144881963	0	0	0	1
gene-PA2587	165	230	44	132	18	22	16	9	host	pqsH	0.9951029177218357	0	0	0	1
gene-PA3825	66	59	49	77	6	12	4	5	host	gene-PA3825	0.8345013638495484	0	0	0	1
gene-PA0174	3	3	5	6	1	1	1	1	host	gene-PA0174	0.7111040249080037	0	0	0	1
gene-PA2866	8	12	2	5	2	2	0	1	host	mttC	0.960143218483576	0	1	0	1
gene-PA2174	5	10	1	5	1	0	0	0	host	gene-PA2174	1.2297953871335165	0	1	0	1
gene-PA5181	53	25	30	37	10	11	5	11	host	gene-PA5181	0.6826467028790045	0	0	0	1
gene-PA2560	36	51	31	52	11	24	12	7	host	gene-PA2560	0.5895562149721135	0	0	0	1
gene-PA4502	60	45	45	55	14	15	6	1	host	gene-PA4502	0.7303729678019758	0	0	0	1
gene-PA0623	223	283	268	433	205	317	158	92	host	gene-PA0623	0.39275713168787946	0	0	0	1
gene-PA5389	27	20	6	15	1	1	6	5	host	cdhR	0.8784538383812451	0	0	0	1
gene-PA0387	95	96	80	84	27	20	18	5	host	gene-PA0387	0.6850858052489726	0	0	0	1
gene-PA3946	58	39	31	43	5	7	4	4	host	rocS1	0.843029489330938	0	0	0	1
gene-PA1873	9	13	6	4	3	3	1	0	host	gene-PA1873	0.829676394223766	0	1	0	1
gene-PA4681	46	44	23	42	18	7	12	11	host	gene-PA4681	0.5963440266830851	0	0	0	1
gene-PA5048	155	124	113	171	50	42	31	23	host	gene-PA5048	0.6222554329378519	0	0	0	1
gene-PA2604	78	122	101	93	20	21	20	9	host	gene-PA2604	0.7271080304813635	0	0	0	1
gene-PA0813	19	16	14	25	10	11	8	1	host	gene-PA0813	0.5245454498840714	0	0	0	1
gene-PA3422	11	10	12	10	2	6	2	1	host	gene-PA3422	0.6318045225641474	0	0	0	1
gene-PA1247	94	121	74	126	8	6	6	0	host	aprE	0.9492193147203837	0	1	0	1
gene-PA2104	88	119	54	93	2	12	4	2	host	gene-PA2104	0.9611843904922467	0	0	0	1
gene-PA1643a	64	42	35	60	14	11	8	3	host	gene-PA1643a	0.7598569220396364	0	0	0	1
gene-PA4652	29	26	15	14	6	6	7	4	host	gene-PA4652	0.6707520323737614	0	0	0	1
gene-PA4187	16	16	6	8	3	5	2	2	host	gene-PA4187	0.7451787167232521	0	0	0	1
gene-PA1377	85	84	33	45	10	12	3	0	host	gene-PA1377	0.9530501027070382	0	1	0	1
gene-PA1951	53	43	52	79	7	12	12	7	host	gene-PA1951	0.7704677186735197	0	0	0	1
gene-PA4277.2	285	813	377	806	308	543	216	111	host	gene-PA4277.2	0.5706730865118529	0	0	0	1
gene-PA2995	95	226	135	240	46	52	28	15	host	nqrE	0.7866011297974345	0	0	0	1
gene-PA0760	87	38	33	54	16	25	8	8	host	gene-PA0760	0.7421456166824831	0	0	0	1
gene-PA3594	32	18	3	13	4	1	6	2	host	gene-PA3594	1.0144762162171717	0	0	0	1
gene-PA4952	298	280	226	336	48	67	34	27	host	gene-PA4952	0.7549138736469011	0	0	0	1
gene-PA2127	18	17	9	21	1	1	1	3	host	gene-PA2127	0.9056896572266353	0	0	0	1
gene-PA1196	19	24	6	16	4	3	5	1	host	gene-PA1196	0.8265005877582666	0	0	0	1
gene-PA2110	104	11	123	23	32	24	5	6	host	gene-PA2110	1.0493475494779978	0	0	0	1
gene-PA0596	99	105	62	93	19	29	15	20	host	gene-PA0596	0.6627221677044772	0	0	0	1
gene-PA4578	422	492	469	428	134	74	33	36	host	gene-PA4578	0.7470552083150456	0	0	0	1
gene-PA5398	22	28	17	19	11	19	3	4	host	dgcA	0.5313242945526668	0	0	0	1
gene-PA5377	29	33	21	19	5	4	4	6	host	gene-PA5377	0.7372994026344114	0	0	0	1
gene-PA3355	152	95	84	100	14	20	13	5	host	gene-PA3355	0.8448397390769855	0	0	0	1
gene-PA1349	7	3	2	4	0	0	2	1	host	gene-PA1349	0.916152378185748	0	1	0	1
gene-PA3489	10	11	8	10	0	2	4	1	host	gene-PA3489	0.7314175583156836	0	1	0	1
gene-PA1102	385	361	273	361	36	49	12	14	host	fliG	0.8683783365690937	0	0	0	1
gene-PA2844	41	20	7	15	4	3	1	1	host	gene-PA2844	1.1186678548059659	0	0	0	1
gene-PA4931	157	205	178	236	50	65	30	22	host	dnaB	0.6774038476946307	0	0	0	1
gene-PA3520	1	1	0	1	0	1	0	0	host	gene-PA3520	1.0	0	1	0	1
gene-PA3148	282	612	437	915	73	109	28	19	host	wbpI	0.979688507890443	0	0	0	1
gene-PA5322	663	605	727	913	131	142	55	49	host	algC	0.7991849762063646	0	0	0	1
gene-PA3779	21	11	12	19	2	6	1	3	host	gene-PA3779	0.7672171936435095	0	0	0	1
gene-PA2402	29835	27090	25188	38044	4897	5652	2458	1667	host	gene-PA2402	0.8119426820494364	0	0	0	1
gene-PA2119	53	49	19	36	7	9	3	2	host	gene-PA2119	0.8774842095806487	0	0	0	1
gene-PA2181	1	2	1	4	1	2	0	1	host	gene-PA2181	0.7453559924999299	0	1	0	1
gene-PA0994	51	71	18	40	8	8	2	2	host	cupC3	0.9697422337920526	0	0	0	1
gene-PA1587	2982	2965	3849	4449	1531	1298	459	390	host	lpdG	0.6415949545492383	0	0	0	1
gene-PA4593	31	25	14	21	4	4	2	0	host	gene-PA4593	0.8784025389809547	0	1	0	1
gene-PA4726.2	22552	66263	24583	39994	16129	21789	12397	10867	host	gene-PA4726.2	0.6396338705040139	0	0	0	1
gene-PA5458	46	39	36	43	2	9	10	5	host	gene-PA5458	0.7412649217456106	0	0	0	1
gene-PA2820	67	71	38	53	7	9	4	1	host	gene-PA2820	0.8848954740532917	0	0	0	1
gene-PA3231	7	4	12	19	1	0	0	0	host	gene-PA3231	1.2126518906496455	0	1	0	1
gene-PA2282	6	4	2	2	1	3	1	0	host	gene-PA2282	0.7572365563125347	0	1	0	1
gene-PA5091	30	29	23	38	2	9	3	3	host	hutG	0.7917941879828336	0	0	0	1
gene-PA4370	789	807	590	514	59	27	14	24	host	icmP	0.9470912094101447	0	0	0	1
gene-PA2430	59	40	30	47	4	5	2	2	host	gene-PA2430	0.9193416690482182	0	0	0	1
gene-PA0056	9	9	3	15	2	2	2	3	host	gene-PA0056	0.8046163106769633	0	0	0	1
gene-PA2247	490	515	834	1090	75	39	16	19	host	bkdA1	1.0118457144524118	0	0	0	1
gene-PA3544	10	6	5	9	1	0	1	2	host	algE	0.8463232099963623	0	1	0	1
gene-PA2726	26	25	24	24	7	5	3	5	host	gene-PA2726	0.6684238781628329	0	0	0	1
gene-PA1052a	14	7	15	32	5	6	0	3	host	gene-PA1052a	0.9277915415419626	0	1	0	1
gene-PA3959	16	17	10	14	3	1	4	0	host	gene-PA3959	0.8010348336581423	0	1	0	1
gene-PA5466	13	19	8	22	4	1	2	4	host	gene-PA5466	0.820889768031706	0	0	0	1
gene-PA1961	21	21	15	22	6	1	4	2	host	gene-PA1961	0.7467636537964203	0	0	0	1
gene-PA2661	26	23	16	15	5	4	1	1	host	gene-PA2661	0.8187366306265222	0	0	0	1
gene-PA3074	62	55	40	49	10	15	7	5	host	gene-PA3074	0.725763071605057	0	0	0	1
gene-PA1616	46	40	33	40	11	9	4	2	host	gene-PA1616	0.7409744240870971	0	0	0	1
gene-PA1555	27	32	17	57	5	7	5	7	host	ccoP2	0.8747938676770617	0	0	0	1
gene-PA2894	40	35	23	32	2	7	2	1	host	gene-PA2894	0.8717615845320441	0	0	0	1
gene-PA1037	88	66	36	56	12	11	8	5	host	gene-PA1037	0.8358871386051401	0	0	0	1
gene-PA5121	119	101	100	177	30	39	17	14	host	gene-PA5121	0.7346677145963392	0	0	0	1
gene-PA2631	120	123	87	141	25	38	23	14	host	gene-PA2631	0.6831087991407574	0	0	0	1
gene-PA4286	79	61	35	54	10	17	9	12	host	gene-PA4286	0.7310536167631205	0	0	0	1
gene-PA4793	154	123	48	69	9	11	4	4	host	gene-PA4793	1.0358134067172453	0	0	0	1
gene-PA5252a	256	205	86	107	21	19	13	10	host	gene-PA5252a	0.9918338237518859	0	0	0	1
gene-PA1001	2592	2260	1402	1939	247	211	70	91	host	phnA	0.905789871057215	0	0	0	1
gene-PA1433	309	472	322	483	38	38	16	10	host	gene-PA1433	0.9213012936943827	0	0	0	1
gene-PA5269	54	40	24	25	4	2	3	2	host	gene-PA5269	0.9693393743863425	0	0	0	1
gene-PA4317	57	53	30	42	20	19	18	5	host	gene-PA4317	0.5667011808997904	0	0	0	1
gene-PA1685	106	127	100	153	21	17	16	7	host	masA	0.8078349759336956	0	0	0	1
gene-PA0051	13	15	6	23	3	3	3	1	host	phzH	0.8711867550753724	0	0	0	1
gene-PA0506	265	244	128	193	68	37	61	88	host	gene-PA0506	0.6061664847378158	0	0	0	1
gene-PA0215	4	4	2	3	4	3	0	0	host	gene-PA0215	0.6324555320336759	0	1	0	1
gene-PA5225	56	57	45	48	6	10	5	5	host	gene-PA5225	0.7874611894254645	0	0	0	1
gene-PA1927	31	26	39	49	9	9	9	7	host	metE	0.6788801438711529	0	0	0	1
gene-PA1924	3	6	2	5	0	0	0	0	host	gene-PA1924	1.14564392373896	0	1	0	1
gene-PA5425	62	72	48	112	30	41	30	22	host	purK	0.5299651680258959	0	0	0	1
gene-PA4488	161	125	92	171	21	32	17	14	host	gene-PA4488	0.7881798244956125	0	0	0	1
gene-PA1944	128	99	44	90	8	9	4	3	host	gene-PA1944	0.9818834582849266	0	0	0	1
gene-PA4987	38	24	24	44	4	3	7	8	host	gene-PA4987	0.7855163977157527	0	0	0	1
gene-PA0759	64	62	23	45	5	6	4	6	host	gene-PA0759	0.9141753680610176	0	0	0	1
gene-PA1912	160	93	13	17	3	1	1	0	host	femI	1.5325053118551328	0	1	0	1
gene-PA4598	41	38	23	34	13	15	8	5	host	mexD	0.5929512437825489	0	0	0	1
gene-PA5353	7	7	3	6	1	2	3	0	host	glcF	0.7024671995677021	0	1	0	1
gene-PA5258	423	342	225	338	54	61	22	26	host	gene-PA5258	0.8283482257875282	0	0	0	1
gene-PA2581	106	118	62	113	31	47	27	22	host	gene-PA2581	0.5784343550591251	0	0	0	1
gene-PA2362	63	36	27	42	4	7	1	3	host	gene-PA2362	0.9333710848381815	0	0	0	1
gene-PA4951	80	84	69	90	23	16	7	4	host	orn	0.7497456964519096	0	0	0	1
gene-PA4642	61	25	18	24	8	8	5	12	host	gene-PA4642	0.8430518777041207	0	0	0	1
gene-PA4287	8	10	7	9	3	2	3	3	host	gene-PA4287	0.5328701692569688	0	0	0	1
gene-PA3583	36	46	53	116	11	11	2	3	host	glpR	1.0311388092451343	0	0	0	1
gene-PA1213	7	4	2	9	3	2	0	0	host	gene-PA1213	0.8881169487616147	0	1	0	1
gene-PA4651	3	6	2	7	1	3	2	0	host	gene-PA4651	0.7453559924999299	0	1	0	1
gene-PA5237	551	496	239	302	39	46	26	15	host	gene-PA5237	0.95548116758863	0	0	0	1
gene-PA2080	55	44	95	116	8	18	4	2	host	kynU	0.9512410919027048	0	0	0	1
gene-PA1444	136	132	84	102	20	15	12	11	host	fliN	0.810054914708719	0	0	0	1
gene-PA2072	45	53	20	21	3	3	3	4	host	gene-PA2072	0.9899075196738961	0	0	0	1
gene-PA2819.2	526	1231	732	1582	596	961	361	180	host	gene-PA2819.2	0.5643293679941083	0	0	0	1
gene-PA2559	330	244	114	182	15	34	12	10	host	gene-PA2559	0.9762771156096787	0	0	0	1
gene-PA5405	28	23	17	27	5	6	7	6	host	gene-PA5405	0.6319305381687638	0	0	0	1
gene-PA1836	31	28	14	9	4	0	1	1	host	gene-PA1836	1.0523488093445659	0	1	0	1
gene-PA3139	163	275	414	657	161	180	93	51	host	gene-PA3139	0.7476360931153762	0	0	0	1
gene-PA2992	71	111	56	122	15	22	12	9	host	gene-PA2992	0.8141145161811296	0	0	0	1
gene-PA2542	184	153	84	135	21	18	11	6	host	gene-PA2542	0.8847703510248944	0	0	0	1
gene-PA3112	336	522	1197	1873	228	288	104	66	host	accD	1.0285590792453796	0	0	0	1
gene-PA1973	57	31	17	21	0	2	1	1	host	pqqF	1.1581458350086697	0	1	0	1
gene-PA1480	133	103	73	148	37	40	26	27	host	ccmF	0.6251711686880002	0	0	0	1
gene-PA4963	187	287	223	347	48	60	27	24	host	gene-PA4963	0.7930849820770961	0	0	0	1
gene-PA2160	17	21	14	13	2	7	2	4	host	gene-PA2160	0.6782329983125268	0	0	0	1
gene-PA1803	3377	5245	2820	4138	494	721	290	187	host	lon	0.8600378633461879	0	0	0	1
gene-PA1917	1	7	0	6	0	0	0	0	host	gene-PA1917	1.5843623580584882	0	1	0	1
gene-PA2410	219	297	372	482	70	77	24	18	host	gene-PA2410	0.8408390205403425	0	0	0	1
gene-PA3832	58	66	45	55	16	10	4	7	host	holC	0.7410302424541434	0	0	0	1
gene-PA1160	192	124	99	135	17	17	11	4	host	gene-PA1160	0.8975474362098826	0	0	0	1
gene-PA1543	46	35	22	50	8	10	5	7	host	apt	0.7535239754368295	0	0	0	1
gene-PA0185	6	2	2	1	0	0	2	0	host	gene-PA0185	1.1487065017744675	0	1	0	1
gene-PA2878	47	26	15	13	2	3	1	3	host	gene-PA2878	1.087722618992438	0	0	0	1
gene-PA1069	413	351	195	349	66	78	52	30	host	gene-PA1069	0.7680044586091522	0	0	0	1
gene-PA2948	7	9	10	6	1	3	3	1	host	cobM	0.6557438524302001	0	0	0	1
gene-PA2089	53	52	26	37	8	15	7	3	host	gene-PA2089	0.7518695295137005	0	0	0	1
gene-PA1659	4	9	3	30	2	23	11	2	host	gene-PA1659	0.9416057111088185	0	0	0	1
gene-PA1119	33	20	17	42	4	5	4	2	host	yfiB	0.8871818157419302	0	0	0	1
gene-PA0523	2	2	3	1	2	0	0	0	host	norC	0.8717797887081348	0	1	0	1
gene-PA2633	34	36	25	31	5	2	1	1	host	gene-PA2633	0.8866329397341797	0	0	0	1
gene-PA2819.1	154	446	201	552	153	359	112	71	host	gene-PA2819.1	0.6378739998981725	0	0	0	1
gene-PA4635	20	12	12	13	8	3	0	2	host	gene-PA4635	0.7244984190346266	0	1	0	1
gene-PA4921	33	30	23	39	4	10	5	1	host	gene-PA4921	0.7686793962821741	0	0	0	1
gene-PA0269	20	12	9	16	0	2	0	0	host	gene-PA0269	1.01680789979462	0	1	0	1
gene-PA2175	1	2	2	4	0	0	1	0	host	gene-PA2175	1.0392304845413265	0	1	0	1
gene-PA5365	106	115	60	82	18	17	12	12	host	phoU	0.7766006987882319	0	0	0	1
gene-PA0820	202	339	83	140	15	36	17	9	host	gene-PA0820	1.040383216291878	0	0	0	1
gene-PA0761	252	251	138	261	44	61	29	34	host	nadB	0.7392588347600063	0	0	0	1
gene-PA4824	0	6	0	1	1	1	0	1	host	gene-PA4824	1.4832396974191326	0	1	0	1
gene-PA2881	15	12	13	14	1	1	0	1	host	gene-PA2881	0.9026141031162498	0	1	0	1
gene-PA2412	1423	1442	1214	1482	252	283	123	83	host	gene-PA2412	0.774204309812139	0	0	0	1
gene-PA0121	22	23	8	11	2	2	1	1	host	gene-PA0121	0.9860247958135655	0	0	0	1
gene-PA0525	12	7	6	7	3	0	2	2	host	gene-PA0525	0.7427050439979609	0	1	0	1
gene-PA1271	32	34	23	45	12	16	13	4	host	gene-PA1271	0.5727551291249087	0	0	0	1
gene-PA4238	3718	6482	4595	8475	5305	2364	1235	692	host	rpoA	0.6054407202192257	0	0	0	1
gene-PA0858	65	92	93	184	32	31	19	22	host	gene-PA0858	0.7770050318739875	0	0	0	1
gene-PA0810	56	37	21	47	15	13	8	5	host	gene-PA0810	0.7053369727116341	0	0	0	1
gene-PA0500	824	701	986	1291	124	121	36	26	host	bioB	0.9055803919618158	0	0	0	1
gene-PA0951a	111	79	41	56	14	4	1	4	host	gene-PA0951a	0.9824897761553245	0	0	0	1
gene-PA1540	15	16	6	5	3	3	3	1	host	gene-PA1540	0.8284868934053082	0	0	0	1
gene-PA0933	587	770	402	740	121	129	83	49	host	ygcA	0.7913461291026673	0	0	0	1
gene-PA1905	11	31	11	77	6	8	0	0	host	phzG2	1.337954953199144	0	1	0	1
gene-PA1812	221	233	126	168	25	38	36	17	host	mltD	0.7854832156260109	0	0	0	1
gene-PA0627	32	30	55	67	45	46	42	21	host	gene-PA0627	0.3244740797835549	0	0	0	1
gene-PA2519	10	13	4	3	1	2	4	0	host	xylS	0.9169294839831013	0	1	0	1
gene-PA0030	8	8	3	9	2	3	2	0	host	gene-PA0030	0.731227650975413	0	1	0	1
gene-PA4207	75	58	865	1094	343	338	226	182	host	mexI	0.8915151066551471	0	0	0	1
gene-PA0270	41	24	8	24	4	4	1	0	host	gene-PA0270	1.0421859984635076	0	1	0	1
gene-PA3871	5	3	4	0	0	1	1	0	host	gene-PA3871	1.0594569267279519	0	1	0	1
gene-PA0607	33	44	52	57	17	23	20	12	host	rpe	0.4926599021840511	0	0	0	1
gene-PA2002	95	101	187	209	29	23	8	7	host	gene-PA2002	0.9112174477018767	0	0	0	1
gene-PA0240	25	31	13	16	5	4	4	3	host	gene-PA0240	0.7930068825013687	0	0	0	1
gene-PA1818	718	792	676	969	85	84	21	35	host	ldcA	0.8882135762446519	0	0	0	1
gene-PA4123	15	15	2	10	0	3	1	2	host	hpcC	0.9860132971832694	0	1	0	1
gene-PA4063	17	13	6	8	4	1	1	0	host	gene-PA4063	0.9182592226599198	0	1	0	1
gene-PA3038	167	163	149	151	6	8	2	4	host	gene-PA3038	0.941030531671774	0	0	0	1
gene-PA5206	143	130	38	51	11	18	6	4	host	argE	1.0412091011468316	0	0	0	1
gene-PA5340	544	491	395	588	96	76	43	26	host	gene-PA5340	0.8099046218265238	0	0	0	1
gene-PA2472	7	3	5	6	2	0	0	2	host	gene-PA2472	0.7909487973314075	0	1	0	1
gene-PA4801	20	25	10	30	5	7	8	2	host	gene-PA4801	0.717072785241805	0	0	0	1
gene-PA2236	46	22	26	66	10	5	5	1	host	pslF	0.9489744391646412	0	0	0	1
gene-PA2597	15	11	11	9	2	1	1	0	host	gene-PA2597	0.8790904390334364	0	1	0	1
gene-PA4079	183	143	37	69	6	19	15	6	host	gene-PA4079	1.0612366750187041	0	0	0	1
gene-PA2048	12	5	6	7	0	1	0	0	host	gene-PA2048	1.0596172713326995	0	1	0	1
gene-PA1359	28	39	13	26	5	3	4	5	host	gene-PA1359	0.8398417270605198	0	0	0	1
gene-PA2851	904	1680	1089	1687	415	464	335	201	host	efp	0.6566623452397986	0	0	0	1
gene-PA2342	17	12	6	16	4	3	4	2	host	mtlD	0.7098635432250342	0	0	0	1
gene-PA4575	33	34	21	28	10	6	1	2	host	gene-PA4575	0.7649022459217821	0	0	0	1
gene-PA3269	151	118	25	39	2	7	2	1	host	gene-PA3269	1.2714267339994807	0	0	0	1
gene-PA1211	2	4	1	1	1	0	2	0	host	gene-PA1211	0.8860722131644512	0	1	0	1
gene-PA1584	918	976	1257	1872	276	391	214	137	host	sdhB	0.7566468335022399	0	0	0	1
gene-PA4655	91	100	73	84	12	21	11	9	host	hemH	0.7515425065843677	0	0	0	1
gene-PA3392	10	14	13	16	4	5	6	0	host	nosZ	0.6169463812765598	0	1	0	1
gene-PA4873	129	82	82	76	16	12	8	5	host	gene-PA4873	0.8544665165818658	0	0	0	1
gene-PA4401	169	219	89	166	20	33	12	7	host	gene-PA4401	0.8825861908465766	0	0	0	1
gene-PA0877	28	9	14	20	12	4	5	2	host	gene-PA0877	0.7027721091452657	0	0	0	1
gene-PA1630	62	60	15	19	4	2	0	0	host	gene-PA1630	1.205775361931711	0	1	0	1
gene-PA4024	141	91	339	273	37	17	7	5	host	eutB	1.057832586673035	0	0	0	1
gene-PA4121	5	2	1	3	0	0	2	0	host	gene-PA4121	1.0175966581017657	0	1	0	1
gene-PA4165	28	16	16	22	3	1	1	0	host	gene-PA4165	0.9449785935203256	0	1	0	1
gene-PA5174	132	220	598	1004	138	167	75	30	host	gene-PA5174	1.0609690262646074	0	0	0	1
gene-PA3262.2	398	595	218	375	157	247	125	67	host	gene-PA3262.2	0.5957265713300285	0	0	0	1
gene-PA4177	0	1	4	5	1	1	1	0	host	gene-PA4177	1.063098073929635	0	1	0	1
gene-PA5148	29	37	28	34	4	15	0	5	host	gene-PA5148	0.7273828926886976	0	1	0	1
gene-PA2495	9	9	8	11	5	2	3	0	host	oprN	0.6279299814201578	0	1	0	1
gene-PA3509	4	2	6	14	1	0	0	0	host	gene-PA3509	1.3328188307738207	0	1	0	1
gene-PA4954	119	107	100	114	22	22	9	9	host	motA	0.7608518732881858	0	0	0	1
gene-PA1955	10	7	2	3	2	0	3	1	host	gene-PA1955	0.8921425711997711	0	1	0	1
gene-PA3493	11	6	2	8	0	3	1	0	host	gene-PA3493	0.9779036381434915	0	1	0	1
gene-PA4403	1255	1724	1368	1789	282	320	188	142	host	secA	0.760540460773394	0	0	0	1
gene-PA3327	34	137	16	131	7	22	19	9	host	gene-PA3327	1.0861913070705158	0	0	0	1
gene-PA5015	1063	1264	1003	1226	205	246	229	132	host	aceE	0.7083354209921544	0	0	0	1
gene-PA1635	3	3	1	5	0	0	0	1	host	kdpC	1.063098073929635	0	1	0	1
gene-PA0947	187	201	124	193	55	48	35	20	host	gene-PA0947	0.6704970106903025	0	0	0	1
gene-PA3292	6	15	4	16	6	0	1	1	host	gene-PA3292	0.9500213724332557	0	1	0	1
gene-PA2917	16	20	12	16	6	7	6	0	host	gene-PA2917	0.6056539145810509	0	1	0	1
gene-PA3899	33	35	3	8	0	1	1	1	host	gene-PA3899	1.3577722594845638	0	1	0	1
gene-PA3726	47	52	42	76	15	14	7	2	host	gene-PA3726	0.7683773102376982	0	0	0	1
gene-PA2440	33	25	19	60	7	9	2	6	host	gene-PA2440	0.8966285457882397	0	0	0	1
gene-PA0602	657	416	244	344	20	29	14	10	host	gene-PA0602	1.0422439163958024	0	0	0	1
gene-PA1187	28	32	12	22	3	1	4	6	host	gene-PA1187	0.8445743889623244	0	0	0	1
gene-PA0782	219	234	395	554	332	372	178	81	host	putA	0.46834607988462035	0	0	0	1
gene-PA1140	61	52	28	30	3	5	6	3	host	gene-PA1140	0.9237571636635068	0	0	0	1
gene-PA0863	39	25	22	26	4	6	1	3	host	gene-PA0863	0.8349568463388831	0	0	0	1
gene-PA1883	9	5	4	3	0	3	1	0	host	gene-PA1883	0.8971064596802322	0	1	0	1
gene-PA2540	145	111	204	325	88	84	48	29	host	gene-PA2540	0.6967949198470038	0	0	0	1
gene-PA3451	32	27	9	18	2	2	0	2	host	gene-PA3451	1.0252022715262257	0	1	0	1
gene-PA4193	2	2	3	4	2	0	0	1	host	gene-PA4193	0.7423074889580903	0	1	0	1
gene-PA2691	38	25	10	16	7	2	3	2	host	gene-PA2691	0.9372326966776957	0	0	0	1
gene-PA3315	18	14	5	11	8	2	4	2	host	gene-PA3315	0.6875	0	0	0	1
gene-PA3484	34	28	37	61	18	19	11	5	host	gene-PA3484	0.62140544282398	0	0	0	1
gene-PA2369	65	41	49	54	10	9	3	1	host	gene-PA2369	0.8345611248469619	0	0	0	1
gene-PA5274	97	99	88	148	24	30	15	10	host	rnk	0.7429984873954558	0	0	0	1
gene-PA4535	84	59	19	35	5	10	0	1	host	gene-PA4535	1.0769813883862482	0	1	0	1
gene-PA2122	8	8	9	6	2	2	0	0	host	gene-PA2122	0.8076168014344326	0	1	0	1
gene-PA1402	23	7	5	16	1	2	1	0	host	gene-PA1402	1.1347260928458127	0	1	0	1
gene-PA2349	5	4	5	2	1	2	0	1	host	gene-PA2349	0.7211102550927978	0	1	0	1
gene-PA0463	17	20	21	12	4	1	5	3	host	creB	0.7339515378562907	0	0	0	1
gene-PA0721	14	8	8	15	6	2	10	6	host	gene-PA0721	0.46715250612423764	0	0	0	1
gene-PA5033	26	45	19	47	15	23	13	8	host	gene-PA5033	0.5506423495196752	0	0	0	1
gene-PA4002	260	473	211	373	53	83	38	30	host	rodA	0.8271300353093447	0	0	0	1
gene-PA4667	135	143	106	129	21	19	15	6	host	gene-PA4667	0.8010831090189784	0	0	0	1
gene-PA3976	28	36	18	36	7	9	1	5	host	thiE	0.7575470619178772	0	0	0	1
gene-PA2947	7	1	2	5	0	0	0	0	host	gene-PA2947	1.3449494001221345	0	1	0	1
gene-PPLUZ19_gp1	0	0	56016	55189	18885	19005	5551	6439	phage	gp1	1.072394784808384	0	1	0	1
gene-PA0804	140	126	102	121	26	28	17	13	host	gene-PA0804	0.7220640028815839	0	0	0	1
gene-PA0131	22	16	11	14	3	0	1	2	host	gene-PA0131	0.8942158174436144	0	1	0	1
gene-PA1465	163	110	115	146	22	18	7	7	host	gene-PA1465	0.8455374577655403	0	0	0	1
gene-PA3426	109	68	42	48	8	13	4	3	host	gene-PA3426	0.9565270417580878	0	0	0	1
gene-PA2883	50	54	19	22	6	6	1	3	host	gene-PA2883	0.9785910908688908	0	0	0	1
gene-PA5029	22	25	3	8	3	1	2	1	host	gene-PA5029	1.1253927651000981	0	0	0	1
gene-PA3791	130	144	54	111	12	36	18	14	host	gene-PA3791	0.7928024234303027	0	0	0	1
