Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2947	7	1	5	2	5	42	0	0	8	0	0	52	host	gene-PA2947	1.6546011356314207	0	1
gene-PPLUZ19_gp1	0	0	11	56016	55189	83240	18885	19005	7735	5551	6439	42270	phage	gp1	1.0869293993755342	0	0
gene-PA0804	140	126	75	102	121	134	26	28	51	17	13	175	host	gene-PA0804	0.6390059539796686	0	1
gene-PA0131	22	16	27	11	14	159	3	0	8	1	2	285	host	gene-PA0131	1.8249416016207252	0	1
gene-PA1465	163	110	20	115	146	43	22	18	8	7	7	46	host	gene-PA1465	0.946764681430356	0	1
gene-PA3426	109	68	21	42	48	101	8	13	9	4	3	207	host	gene-PA3426	1.1082652373020299	0	1
gene-PA2883	50	54	22	19	22	50	6	6	8	1	3	37	host	gene-PA2883	0.8189755656764702	0	1
gene-PA5029	22	25	36	3	8	258	3	1	22	2	1	443	host	gene-PA5029	1.9228847145402101	0	1
gene-PA3791	130	144	32	54	111	106	12	36	13	18	14	124	host	gene-PA3791	0.7569468599250468	0	1
gene-PA1819	435	393	139	277	474	200	45	54	28	16	14	230	host	gene-PA1819	0.8511106869955092	0	1
gene-PA0606	31	27	29	32	25	168	11	12	29	2	6	130	host	gene-PA0606	1.1842055649063798	0	1
gene-PA0838	151	93	45	136	166	114	32	31	7	22	11	102	host	gene-PA0838	0.7278442660977289	0	1
gene-PA4797	46	57	27	21	42	257	5	9	19	4	4	218	host	gene-PA4797	1.3860881319240388	0	1
gene-PA3984	115	134	54	83	114	214	23	26	63	17	12	593	host	lnt	1.271113018183983	0	1
gene-PA3672	64	69	24	12	14	195	4	4	19	2	2	208	host	gene-PA3672	1.3722528148652542	0	1
gene-PA1000	4398	2732	942	2029	2715	658	416	291	49	121	146	378	host	pqsE	1.0827027713789945	0	1
gene-PA2489	16	11	6	5	8	57	1	2	7	1	1	92	host	gene-PA2489	1.5609397622134042	0	1
gene-PA4312	34	43	8662	23	36	65	11	8	19	10	5	2834	host	gene-PA4312	2.4940611208636994	0	1
gene-PA1315	30	29	25	12	24	87	4	7	12	2	1	172	host	gene-PA1315	1.3998301549596435	0	1
gene-PA5283	71	59	542	29	56	652	9	9	640	5	2	325	host	gene-PA5283	1.264764994277944	0	1
gene-PA1983	1	2	11	2	6	140	0	0	12	0	1	226	host	exaB	2.073042297868986	0	1
gene-PA1335	94	64	27	143	71	201	19	16	12	3	6	331	host	gene-PA1335	1.157349797557309	0	1
gene-PA1250	18	37	14	11	16	50	2	3	6	3	4	54	host	aprI	0.9789897896978453	0	1
gene-PPLUZ19_gp47	0	0	0	103	240	21276	16	59	8386	1493	1055	30513	phage	gp47	1.8403377814559279	0	0
gene-PA3603	19	22	16	9	23	88	4	7	14	4	1	72	host	dgkA	1.140004712700852	0	1
gene-PA2398	2390	3750	1096	4448	4539	1243	718	644	104	197	175	255	host	fpvA	1.0035155905870554	0	1
gene-PA0330	73	83	46	84	108	195	24	22	16	13	17	148	host	rpiA	0.8090511003021851	0	1
gene-PA0739	4	4	10	5	2	49	3	0	205	1	0	82	host	gene-PA0739	1.9033249590633707	0	1
gene-PA3081	61	74	59	95	105	203	30	15	21	8	6	167	host	gene-PA3081	0.8622206512155075	0	1
gene-PA1636	63	49	37	33	30	187	18	9	25	5	1	253	host	kdpD	1.269985246873496	0	1
gene-PA4799	31	19	43	21	25	240	3	6	32	2	0	248	host	gene-PA4799	1.5250693391435721	0	1
gene-PA0023	182	145	73	44	69	294	13	15	34	14	7	390	host	qor	1.1157584829108405	0	1
gene-PA1208	34	30	36	17	30	184	11	9	23	3	1	152	host	gene-PA1208	1.2880091630611887	0	1
gene-PA2796	145	154	66	69	102	145	17	12	23	9	5	209	host	tal	0.8410562235403569	0	1
gene-PA4796	63	53	20	35	42	126	5	2	9	2	1	193	host	gene-PA4796	1.2272722919813233	0	1
gene-PA0597	69	101	34	32	47	109	23	16	11	13	7	179	host	gene-PA0597	0.9384822466647871	0	1
gene-PA2144	41	35	36	12	20	407	5	6	34	5	10	665	host	glgP	1.877506121206714	0	1
gene-PA0798	84	22	155	26	39	100	5	8	12	2	1	167	host	pmtA	1.1121922906080637	0	1
gene-PA1210	16	10	45	5	6	96	1	1	11	2	1	141	host	gene-PA1210	1.544697524859109	0	1
gene-PA2491	152	174	60	51	96	156	17	27	10	8	4	114	host	gene-PA2491	0.8399380418318529	0	1
gene-PA4940	112	165	49	223	398	103	80	91	9	60	31	36	host	gene-PA4940	0.9135792086027636	0	1
gene-PA2564	41	51	19	18	31	93	4	6	15	4	2	210	host	gene-PA2564	1.3783804978308685	0	1
gene-PPLUZ19_gp25.1	0	1	40	63	85	10320	8773	16013	107120	159059	136461	138974	phage	gp25.1	1.307490203500391	0	0
gene-PA3496	115	100	31	15	25	63	7	23	5	15	7	21	host	gene-PA3496	0.9978532205718288	0	1
gene-PA1034	42	54	15	10	17	54	7	1	10	7	6	55	host	gene-PA1034	0.8837215162221896	0	1
gene-PA0722	138	267	2869	193	179	216	145	171	546	121	150	118	host	gene-PA0722	1.7482247212884872	0	1
gene-PA1306	44	62	22	41	46	84	10	9	10	5	3	231	host	gene-PA1306	1.2815778897873509	0	1
gene-PA2420	11	6	17	6	9	145	0	5	18	0	4	145	host	gene-PA2420	1.6882062408794	0	1
gene-PA4529	233	230	72	156	202	119	18	23	2325	16	10	148	host	coaE	2.0846310178061054	0	1
gene-PA4675	804	1520	9726	523	912	2041	88	142	436	167	112	3473	host	gene-PA4675	1.5728051167594712	0	1
gene-PA5334	254	184	148	210	299	263	68	67	60	39	22	225	host	rph	0.6146200363949951	0	1
gene-PA3366.1	6	22	5	3	10	47	2	1	3	0	0	27	host	amiL	1.3136299261079736	0	1
gene-PA0033	79	53	15	23	26	105	6	3	8	2	3	202	host	gene-PA0033	1.31075716810609	0	1
gene-PA4612	36	18	734	9	9	98	3	5	55	1	0	104	host	gene-PA4612	2.2112404350337345	0	1
gene-PA4039	33	15	7103	14	13	404	2	4	752	2	3	277	host	gene-PA4039	2.697128462212291	0	1
gene-PA3421	10	10	37	6	14	192	1	1	22	0	3	236	host	gene-PA3421	1.7383387100823184	0	1
gene-PA0084	568	1045	1293	603	947	899	159	279	114	183	96	451	host	gene-PA0084	0.709245561661759	0	1
gene-PA0254	33	30	38	3	18	207	2	4	25	3	0	157	host	gene-PA0254	1.4804145429354951	0	1
gene-PA4673.1	6	19	35	3	9	343	4	7	39	1	0	92	host	gene-PA4673.1	1.9968854617591503	0	1
gene-PA4128	2	2	27	3	6	80	1	2	12	1	0	118	host	gene-PA4128	1.7186110401274086	0	1
gene-PA2893	58	37	34	26	51	237	3	9	23	4	3	396	host	atuH	1.5635117031530856	0	1
gene-PA1544	119	104	159	67	102	171	52	39	11	36	19	55	host	anr	0.6501001542855482	0	1
gene-PA3855	91	120	102	87	118	132	17	22	20	16	8	196	host	gene-PA3855	0.7456853117191037	0	1
gene-PA5385	2	0	16	2	4	93	1	0	10	2	1	92	host	cdhB	1.7951731797684174	0	1
gene-PA1378	48	38	29	17	29	139	4	4	12	2	0	90	host	gene-PA1378	1.1642796815736551	0	1
gene-PA1322	35	21	48	23	24	380	8	6	49	0	1	607	host	gene-PA1322	1.8227624958025468	0	1
gene-PA0848	29	19	23	11	15	144	7	5	17	5	0	171	host	gene-PA0848	1.4709408810518114	0	1
gene-PA1509	66	102	130	59	136	248	8	13	37	5	4	133	host	gene-PA1509	0.9068474223374077	0	1
gene-PA3082	72	100	81	134	184	358	46	25	28	7	11	304	host	gbt	0.9803232858888781	0	1
gene-PPLUZ19_gp22	1	3	83	17	34	15714	43590	66844	255490	301436	267656	268404	phage	gp22	1.2138912992724915	0	0
gene-PA0191	11	6	42	4	3	251	0	1	18	0	0	345	host	gene-PA0191	1.9413289380296332	0	1
gene-PA2312	4	10	6	2	5	85	3	2	6	4	1	109	host	gene-PA2312	1.7704784141846337	0	1
gene-PA1996	27	18	17	7	10	43	8	4	6	0	2	65	host	ppiC1	1.073409949504262	0	1
gene-PA1617	527	369	67	97	123	213	21	12	23	19	9	331	host	gene-PA1617	1.0923023181222533	0	1
gene-PA0342	114	134	44	90	127	224	15	32	24	12	19	167	host	thyA	0.802223892099386	0	1
gene-PA2610	72	78	63	97	149	127	17	22	16	11	6	104	host	gene-PA2610	0.7413153394003109	0	1
gene-PA3950	151	113	54	93	142	202	27	27	21	15	7	306	host	gene-PA3950	0.9081656625557349	0	1
gene-PA3937	4	0	14	2	4	81	0	2	13	1	0	157	host	gene-PA3937	1.977134967045806	0	1
gene-PA3912	6	3	269	5	3	182	1	0	9	1	0	261	host	gene-PA3912	1.6756843940488104	0	1
gene-PA5031	6	12	16	1	1	180	2	5	26	5	0	314	host	gene-PA5031	1.978848177877492	0	1
gene-PA2164	12	8	24	4	10	135	2	3	15	0	0	367	host	gene-PA2164	2.1202158147391867	0	1
gene-PA5194	61	67	830	42	49	258	17	14	413	14	8	271	host	gene-PA5194	1.3814501557292986	0	1
gene-PA2818	132	105	37	66	112	241	18	21	30	9	6	195	host	arr	0.9147056798333563	0	1
gene-PA4224	166	116	193	158	237	184	95	86	13	9	8	212	host	pchG	0.6342675796259125	0	1
gene-PA3936	6	4	17	4	5	84	1	0	11	2	1	167	host	gene-PA3936	1.9143655355522788	0	1
gene-PA4678	27	36	33	26	40	100	10	9	16	3	10	124	host	rimI	0.9974270878188923	0	1
gene-PA5521	234	190	73	128	187	154	49	47	22	17	10	63	host	gene-PA5521	0.7571803181498062	0	1
gene-PPLUZ19_gp37	0	2	28	628	1103	165166	107	512	86781	159718	104563	540781	phage	gp37	1.6996417621496824	0	0
gene-PA3598	12	8	19	9	5	172	1	7	15	0	0	276	host	gene-PA3598	1.914060299017095	0	1
gene-PA5017	189	158	3612	93	138	567	19	20	69	12	15	772	host	gene-PA5017	2.06362874597543	0	1
gene-PA0613	29	33	23	20	38	60	16	24	20	16	8	24	host	gene-PA0613	0.49449780140955885	0	1
gene-PA0041a	5	14	222	5	13	372	0	1	53	1	1	234	host	gene-PA0041a	1.5732786623193784	0	1
gene-PA4379	131	161	43	55	82	181	20	23	18	15	6	247	host	gene-PA4379	0.9306688851656316	0	1
gene-PA3572	15	19	28	14	22	39	3	0	6	2	0	24	host	gene-PA3572	0.8378550481233404	0	1
gene-PA4265	6883	12079	6548	6213	11512	8039	2765	3729	1240	2290	1283	805	host	tufA	0.7077624923040519	0	1
gene-PA0234	3	15	47	2	6	255	1	3	34	2	0	194	host	gene-PA0234	1.7433400582883536	0	1
gene-PA5529	229	235	98	57	73	501	25	34	69	29	20	374	host	gene-PA5529	1.0341086664103314	0	1
gene-PA0852	47	61	101	41	78	270	9	27	158	20	6	477	host	cbpD	1.228113652947715	0	1
gene-PA4313	98	89	56	65	123	146	24	15	16	13	13	172	host	gene-PA4313	0.779714505705708	0	1
gene-PA3762	110	88	17	43	46	80	12	11	3	8	2	93	host	gene-PA3762	0.8947750632053513	0	1
gene-PA4097	2	1	14	1	2	53	1	2	11	1	1	172	host	gene-PA4097	2.1829096326376227	0	1
gene-PA0190	3	9	21	1	7	67	2	0	16	1	0	79	host	gene-PA0190	1.5074202991033194	0	1
gene-PA2155	4	7	10	0	1	89	0	0	8	0	1	120	host	gene-PA2155	1.9231051279982936	0	1
gene-PA2667	566	466	89	436	518	156	97	68	20	25	21	66	host	gene-PA2667	0.9838273728003498	0	1
gene-PA3454	38	22	31	37	37	253	2	3	18	1	2	384	host	gene-PA3454	1.6750576424230998	0	1
gene-PA1203	21	28	27	13	12	70	1	5	7	1	1	134	host	gene-PA1203	1.3975424859373684	0	1
gene-PA4792	118	81	30	27	54	142	5	13	10	8	4	258	host	gene-PA4792	1.179893780529982	0	1
gene-PA0237	4	1	22	1	2	156	1	1	23	0	0	437	host	gene-PA0237	2.2765353431748605	0	1
gene-PA5147	126	98	43	53	81	210	17	29	28	11	5	464	host	mutY	1.2791240509758304	0	1
gene-PA2479	13	15	19	13	27	58	5	6	5	1	1	74	host	gene-PA2479	1.1227355746771943	0	1
gene-PA1929	8	2	1	3	5	39	1	2	3	1	1	93	host	gene-PA1929	1.9707424484265166	0	1
gene-PA4368	225	179	43	49	93	134	8	18	15	8	4	194	host	gene-PA4368	0.9678101016291314	0	1
gene-PA2694	15	22	10	11	9	58	7	2	8	1	1	96	host	gene-PA2694	1.3624426593438712	0	1
gene-PA4152	13	11	907	2	6	211	0	2	27	2	3	418	host	gene-PA4152	1.9689394223791337	0	1
gene-PA0953	325	279	51	133	253	160	22	31	35	14	9	90	host	gene-PA0953	0.9265167761684064	0	1
gene-PA2098	5	3	3	3	2	15	2	1	3	0	1	26	host	gene-PA2098	1.359285198183222	0	1
gene-PA2704	25	25	12	15	17	93	4	2	12	2	2	235	host	gene-PA2704	1.7362980582732275	0	1
gene-PA3179	97	92	58	99	138	221	56	89	41	63	38	74	host	gene-PA3179	0.5423437070701579	0	1
gene-PA0253	41	33	23	16	32	100	8	9	10	3	5	61	host	gene-PA0253	0.9577687468652633	0	1
gene-PA2839	11	8	20	6	7	97	0	2	9	0	2	141	host	gene-PA2839	1.7110198124170886	0	1
gene-PA4235	64	69	220	40	33	199	14	18	18	6	10	86	host	bfrA	1.07010655044155	0	1
gene-PA4830	8	2	12	2	1	176	2	2	12	1	1	290	host	gene-PA4830	2.0849996295474127	0	1
gene-PA0384	12	28	17	12	20	104	0	4	4	4	0	113	host	gene-PA0384	1.4189465387026443	0	1
gene-PA4285	353	281	159	191	223	440	45	49	47	36	34	756	host	recC	0.9555016544563948	0	1
gene-PA4520	775	671	167	203	403	457	27	42	38	32	32	524	host	gene-PA4520	0.9332749244628559	0	1
gene-PA0772	26	36	16	24	52	68	14	7	7	3	4	68	host	recO	0.8441935334350122	0	1
gene-PA2954	53	42	16	28	18	115	5	11	14	7	6	96	host	gene-PA2954	1.022879264530221	0	1
gene-PA4051	61	78	35	84	159	111	17	30	16	23	18	190	host	thiL	0.8191134072494144	0	1
gene-PA4735	400	334	259	344	457	709	79	74	93	31	25	707	host	gene-PA4735	0.8028150563970753	0	1
gene-PA4069	113	87	29	73	78	136	6	10	14	3	4	187	host	gene-PA4069	0.9453357105026222	0	1
gene-PA1393	14	24	24	7	24	152	0	2	16	5	0	67	host	cysC	1.480509747067075	0	1
gene-PA2292	12	15	5	1	3	13	1	3	1	1	0	10	host	gene-PA2292	0.9724001903421836	0	1
gene-PA4776	14	14	20	9	13	116	2	2	17	0	1	158	host	pmrA	1.6005519517374363	0	1
gene-PA0465	27	33	44	17	22	285	3	3	18	5	1	478	host	creD	1.8191128600593027	0	1
gene-PA1307	384	356	87	178	246	155	39	47	16	15	12	162	host	gene-PA1307	0.886503960802052	0	1
gene-PA5544	182	158	74	132	163	439	22	16	73	7	9	418	host	gene-PA5544	1.007285110269448	0	1
gene-PA1099	156	94	77	98	114	158	15	10	15	9	4	227	host	fleR	0.8634001405420474	0	1
gene-PA3742	459	1005	782	718	1390	1007	331	524	106	396	212	156	host	rplS	0.6432046469359112	0	1
gene-PA5460	3	6	14	7	4	87	1	0	11	2	1	111	host	gene-PA5460	1.731293573059169	0	1
gene-PA3768	522	631	185	92	109	253	13	21	33	9	8	207	host	gene-PA3768	1.1429574336342663	0	1
gene-PA4099	6	6	2504	3	7	264	0	1	26	0	0	566	host	gene-PA4099	2.446235721369009	0	1
gene-PA0963	1059	1465	422	1553	2262	1098	386	413	103	231	157	223	host	aspS	0.852396816792589	0	1
gene-PA1879	27	9	14	10	15	95	6	8	12	2	3	176	host	gene-PA1879	1.5847313559652767	0	1
gene-PA4898	8	12	28	14	17	212	1	1	26	1	0	257	host	opdK	1.7545116104581253	0	1
gene-PA1046	78	69	34	70	97	321	20	17	34	13	3	544	host	gene-PA1046	1.4262376541635151	0	1
gene-PA1340	190	34	39	339	88	140	34	20	15	10	11	49	host	gene-PA1340	1.1704710965961151	0	1
gene-PA4834	25	28	21	11	27	150	5	2	21	3	2	273	host	gene-PA4834	1.6514797726272474	0	1
gene-PPLUZ19_gp3	2	1	25	85868	78446	137785	48884	40214	7153	11560	12756	16529	phage	gp3	1.1446293869362774	0	0
gene-PA4310	199	168	2785	177	188	540	40	44	143	29	23	348	host	pctB	1.8855836511860051	0	1
gene-PA2120	12	10	8	3	6	53	5	0	7	0	0	144	host	gene-PA2120	1.9175920340774069	0	1
gene-PA3836	755	592	308	358	420	182	39	18	26	12	13	271	host	gene-PA3836	0.955719946180004	0	1
gene-PA4753	154	132	88	192	265	169	65	61	21	17	21	89	host	gene-PA4753	0.7002115416158594	0	1
gene-PA1570	74	36	26	23	30	127	4	3	19	2	2	182	host	gene-PA1570	1.2325224420869316	0	1
gene-PA1215	6	1	17	3	2	98	1	1	11	1	0	181	host	gene-PA1215	1.9891589206701532	0	1
gene-PA3120	25	19	19	10	27	147	7	4	11	2	1	144	host	leuD	1.4492780287901037	0	1
gene-PA1261	7	7	11	6	3	72	1	0	14	0	1	140	host	gene-PA1261	1.84753326728041	0	1
gene-PA4525	13612	14263	4058	10278	13980	4182	1565	2286	190	632	338	226	host	pilA	1.020125716018787	0	1
gene-PA0295	40	36	60	27	29	215	5	4	42	2	0	256	host	gene-PA0295	1.3591158083130201	0	1
gene-PA2651	91	95	47	57	67	180	17	12	15	12	7	140	host	gene-PA2651	0.8691280064522763	0	1
gene-PA3125	22	19	24	4	12	205	1	1	20	3	1	400	host	gene-PA3125	1.9568755256791748	0	1
gene-PA2859	119	89	24	50	84	79	17	17	20	20	6	134	host	greB	0.7731839349834451	0	1
gene-PA3263	75	74	62	65	58	199	8	9	22	5	15	249	host	gene-PA3263	1.0587975781984613	0	1
gene-PA5488	385	330	122	228	290	221	46	51	24	29	25	165	host	gene-PA5488	0.7776372752576015	0	1
gene-PA0251	13	6	23	5	21	124	1	2	16	0	2	67	host	gene-PA0251	1.5049238912208642	0	1
gene-PA2446	165	152	75	48	61	125	11	8	13	5	2	229	host	gcvH2	0.9789229628063638	0	1
gene-PA1797a	16	17	10	26	30	145	12	15	8	3	4	45	host	gene-PA1797a	1.3483495717600469	0	1
gene-PA3065	9	12	7	4	9	53	0	3	3	1	0	266	host	gene-PA3065	2.364097456096053	0	1
gene-PA4087	2	1	53	0	4	142	2	0	8520	1	1	209	host	gene-PA4087	3.1497925184735602	0	1
gene-PA2218	16	10	31	10	17	174	2	2	11	0	0	113	host	gene-PA2218	1.6169705255097444	0	1
gene-PA1822	616	537	112	250	415	192	58	49	25	34	22	374	host	fimL	0.9122091107291026	0	1
gene-PA1768	46	69	43	72	93	117	18	22	11	9	9	32	host	gene-PA1768	0.7568971891090976	0	1
gene-PA3475	29	52	27	17	32	153	4	5	9	6	2	237	host	pheC	1.4555381866792747	0	1
gene-PA2202	17	26	14	34	53	56	5	5	6	2	1	37	host	gene-PA2202	0.8832617772707592	0	1
gene-PA4984	74	38	16	20	25	151	5	6	11	2	3	243	host	gene-PA4984	1.4384987469706814	0	1
gene-PA1040	18	16	17	6	25	152	4	2	14	2	1	157	host	gene-PA1040	1.570330706673082	0	1
gene-PA0159	31	36	22	32	30	211	7	7	15	2	4	313	host	gene-PA0159	1.5846641549650031	0	1
gene-PA0746	221	202	75	226	206	189	15	12	49	6	4	257	host	gene-PA0746	0.8043973400884022	0	1
gene-PA4201	313	195	1488	100	105	1875	23	25	303	10	4	511	host	ddlA	1.4331888080939243	0	1
gene-PA4335	60	33	16	18	25	56	5	4	13	4	5	58	host	gene-PA4335	0.8486652044967664	0	1
gene-PA0926	23	28	24	28	34	96	5	7	95	5	2	793	host	gene-PA0926	2.2385896166643606	0	1
gene-PA2850	16	14	13	15	13	108	4	6	9	3	0	99	host	ohr	1.4199530508670584	0	1
gene-PA0579	147	269	59	360	573	353	154	212	46	133	75	92	host	rpsU	0.7317578877755037	0	1
gene-PA3697	160	152	80	77	96	299	14	20	34	5	11	269	host	gene-PA3697	0.946131585236124	0	1
gene-PA1603	17	9	15	3	7	72	3	4	4	2	1	89	host	gene-PA1603	1.497720616532858	0	1
gene-PA4541.1	15	76	40	39	102	545	81	122	66	23	21	144	host	gene-PA4541.1	1.3006210747429496	0	1
gene-PA2291	931	2170	656	1029	3292	352	129	230	45	108	40	173	host	gene-PA2291	1.2638386852549799	0	1
gene-PA0343	70	74	31	48	105	241	14	15	20	8	8	388	host	gene-PA0343	1.3004484474000748	0	1
gene-PA0032	37	38	32	13	11	157	6	5	20	3	1	336	host	gene-PA0032	1.7110459264133855	0	1
gene-PA3703	267	266	71	162	250	199	28	32	21	14	13	190	host	wspF	0.8042215221301459	0	1
gene-PA0365	9	7	24	8	6	130	0	0	17	1	0	211	host	gene-PA0365	1.843432539064111	0	1
gene-PA4453	439	692	11026	308	500	313	106	166	33	98	53	54	host	gene-PA4453	2.5976341282804074	0	1
gene-PA3641	188	279	116	235	382	365	77	81	30	35	35	325	host	gene-PA3641	0.7175890124745895	0	1
gene-PA3627	174	168	49	94	151	118	29	35	7	25	12	130	host	ygbB	0.7344965872844953	0	1
gene-PA4981	24	28	49	10	35	349	2	4	47	1	0	519	host	gene-PA4981	1.7866758462217731	0	1
gene-PA4185	11	17	41	14	25	192	8	6	524	2	1	174	host	gene-PA4185	1.7364992482453008	0	1
gene-PA0246	32	27	30	13	23	251	7	7	25	0	3	350	host	gene-PA0246	1.6902947536351955	0	1
gene-PA0143	24	41	45	20	36	223	4	5	24	5	3	243	host	nuh	1.4344400657421368	0	1
gene-PA0905.2	164	293	49	177	292	288	88	143	59	59	32	40	host	gene-PA0905.2	0.701036601282445	0	1
gene-PA1457	1066	861	470	624	834	293	73	67	35	26	34	53	host	cheZ	1.00163276821937	0	1
gene-PA4225	908	688	2360	1130	1376	765	490	359	853	51	56	728	host	pchF	0.7365981773518111	0	1
gene-PA3117	384	367	104	320	412	262	91	85	22	57	41	283	host	asd	0.7040198163899434	0	1
gene-PA4154	12	11	429	11	12	221	6	1	29	2	0	273	host	gene-PA4154	1.629273905587544	0	1
gene-PA3722	62	99	51	74	117	163	50	54	28	29	13	219	host	gene-PA3722	0.7270395742376572	0	1
gene-PA2834	31	22	19	12	16	136	5	3	24	1	0	127	host	gene-PA2834	1.365711104045169	0	1
gene-PA2463	36	41	43	37	40	221	15	18	30	9	5	325	host	gene-PA2463	1.3869194311948398	0	1
gene-PA1006	20	28	11	16	31	51	3	4	9	5	0	29	host	gene-PA1006	0.8407879135786668	0	1
gene-PA2809	31	50	20	9	23	96	5	4	12	2	2	183	host	copR	1.4058968424243035	0	1
gene-PA1590	197	276	40	306	532	190	74	65	28	46	25	269	host	braB	0.8713980515292564	0	1
gene-PA0301	221	363	249	420	497	496	58	57	52	17	17	221	host	spuE	0.7978350707162071	0	1
gene-PA0539	4	3	20	7	6	186	0	3	17	1	0	348	host	gene-PA0539	2.074853050831216	0	1
gene-PA5307	212	181	94	109	153	352	24	24	159	13	19	299	host	gene-PA5307	0.7858267897186041	0	1
gene-PA0179	49	42	60	25	55	141	8	16	9	2	1	65	host	gene-PA0179	0.9628042534892254	0	1
gene-PA2763a	17	16	31	13	51	44	3	4	8	3	0	20	host	gene-PA2763a	0.9087630825116381	0	1
gene-PA0582	50	80	17	30	94	112	21	25	11	11	5	192	host	folB	0.9954457335810935	0	1
gene-PA0734	12	15	180	6	5	33	3	2	114	0	0	400	host	gene-PA0734	1.7855305690618901	0	1
gene-PA4838	13	14	59	9	18	333	2	3	58	2	1	268	host	gene-PA4838	1.6596261549996656	0	1
gene-PA1600	13	5	19	16	5	84	2	1	15	0	1	133	host	gene-PA1600	1.6073291113324024	0	1
gene-PA2249	1422	1160	438	1447	2146	161	229	205	9	35	45	162	host	bkdB	1.1157878768917564	0	1
gene-PA1412	4	2	10	3	2	72	2	0	7	1	1	64	host	gene-PA1412	1.7393993802694172	0	1
gene-PA2772	25	37	24	29	36	150	7	13	14	9	2	88	host	gene-PA2772	1.1218240698845925	0	1
gene-PA4092	32	8	465	10	10	152	1	3	20	0	0	246	host	hpaC	1.7420904746235453	0	1
gene-PA0508	333	195	50	88	88	382	28	18	38	23	29	598	host	gene-PA0508	1.1463479591785495	0	1
gene-PA4349	41	35	304	10	11	93	3	5	10	3	1	746	host	gene-PA4349	1.9948138384684024	0	1
gene-PA4034	11	10	12	21	9	131	2	1	14	1	2	216	host	aqpZ	1.7923882083560352	0	1
gene-PA3311	68	48	32	42	45	332	7	11	39	2	2	368	host	gene-PA3311	1.460848548825346	0	1
gene-PA4301	15	21	19	10	20	146	6	3	16	9	8	254	host	tadB	1.6714790452440886	0	1
gene-PA2662	14	19	11	10	9	116	4	3	8	1	2	295	host	gene-PA2662	2.007101214326982	0	1
gene-PA1723	844	345	43	636	432	153	160	88	23	20	51	89	host	pscJ	1.0739421296899654	0	1
gene-PA5014	677	710	1037	397	562	504	113	130	788	80	39	607	host	glnE	0.6546592880171993	0	1
gene-PA0659	265	255	110	135	240	292	44	81	38	45	30	514	host	gene-PA0659	0.8206687055458546	0	1
gene-PA1554	140	348	194	240	461	506	133	183	56	144	78	183	host	ccoN1	0.6188347047161351	0	1
gene-PA1985	10	13	9	11	11	36	6	8	2	3	6	40	host	pqqA	0.9036634884248533	0	1
gene-PA1759	527	361	123	272	348	354	37	17	43	13	11	330	host	gene-PA1759	0.8553243075626018	0	1
gene-PA1136	22	29	13	4	8	95	1	0	10	1	1	95	host	gene-PA1136	1.4286785109815274	0	1
gene-PA1434	38	30	6	12	22	95	1	6	11	2	0	160	host	gene-PA1434	1.446322017320367	0	1
gene-PA4585	120	69	21	54	83	97	21	34	15	14	13	162	host	rtcA	0.7955121291600621	0	1
gene-PA3969	65	60	37	30	35	204	8	7	255	4	4	302	host	gene-PA3969	1.2072071003534872	0	1
gene-PA3962	8	11	28	7	2	189	5	1	18	3	3	188	host	gene-PA3962	1.7481142998858346	0	1
gene-PA3712	493	267	65	44	48	106	8	13	8	4	3	205	host	gene-PA3712	1.3516529994034516	0	1
gene-PA0603	265	226	84	166	300	239	31	40	53	8	7	222	host	gene-PA0603	0.7709932871372471	0	1
gene-PA1369	64	144	139	36	80	299	9	13	39	6	5	169	host	gene-PA1369	1.0234320176317842	0	1
gene-PA4462	765	1518	3976	199	332	322	57	85	47	33	27	137	host	rpoN	1.7470757790814808	0	1
gene-PA2616	153	153	103	151	199	222	37	40	26	15	29	142	host	trxB1	0.6657879591485665	0	1
gene-PA1621	30	34	13	27	37	92	5	8	3	6	2	181	host	gene-PA1621	1.362973542925157	0	1
gene-PA3725	118	124	55	97	149	197	27	38	22	16	13	272	host	recJ	0.8341515524375546	0	1
gene-PA0296	319	324	251	524	625	437	73	79	48	17	15	244	host	spuI	0.8048327261857635	0	1
gene-PA4668	82	74	138	52	83	251	11	14	127	5	4	106	host	gene-PA4668	0.872002420239316	0	1
gene-PA4101	28	25	18	13	12	139	3	3	21	3	0	317	host	bfmR	1.8258097718127484	0	1
gene-PA0687	4	8	21	5	10	73	3	2	19	4	3	173	host	gene-PA0687	1.7675871964464498	0	1
gene-PA3300	281	235	92	128	144	374	14	15	44	10	9	227	host	fadD2	0.9013507580057226	0	1
gene-PA2637	64	181	169	328	588	233	96	126	24	77	37	84	host	nuoA	0.9090456965909933	0	1
gene-PA3483	80	124	52	86	118	162	9	28	8	13	3	225	host	gene-PA3483	0.8952924899226975	0	1
gene-PA1462	200	232	70	129	202	127	31	35	22	20	10	124	host	gene-PA1462	0.7649043522624248	0	1
gene-PA1495	9	14	7	3	9	55	2	0	7	3	0	98	host	gene-PA1495	1.6342146202108012	0	1
gene-PA2645	21	20	44	29	33	96	18	21	10	11	12	99	host	nuoJ	0.8602968214622169	0	1
